epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1
1,0.15218814528946364,0.07842388087218362,0.9529269202087994,0.973434004474273,0.8151983223584898
2,0.06611974218893531,0.06507756729011557,0.9767897091722595,0.9784675615212528,0.8664734056817371
3,0.04575632072962998,0.06034485948371834,0.9830350484712901,0.979586129753915,0.8734098521398288
4,0.03390391490150554,0.05986510636700716,0.988255033557047,0.9809843400447428,0.8860548807917228
5,0.02726787393684,0.06143964480309348,0.9912378821774795,0.9821029082774049,0.8940530771566761
6,0.01852055462170808,0.0688194695196996,0.993661446681581,0.9823825503355704,0.9002157456690307
7,0.014269338637339908,0.08231783444976568,0.9949664429530202,0.982662192393736,0.8979795804551051
8,0.013908972453334303,0.08187685823213542,0.9962714392244594,0.9818232662192393,0.8939961719319702
9,0.010955261145725325,0.07767198782156422,0.9973900074571216,0.982662192393736,0.9009450147256456
10,0.008758693525123817,0.07935904305590416,0.9968307233407905,0.9832214765100671,0.9030137342966869
11,0.007361368283129975,0.0886675243110793,0.9978560775540641,0.9829418344519015,0.9033834997747758
12,0.004782512095906506,0.0948658482654017,0.9988814317673378,0.9832214765100671,0.9024399116066313
13,0.004751138195117511,0.09041108011342658,0.9987882177479492,0.982662192393736,0.9015164841022361
14,0.004435713284259518,0.09682390769246142,0.9988814317673378,0.9823825503355704,0.9007859597388854
15,0.002562658002984127,0.11043774160108503,0.9996271439224459,0.982662192393736,0.9003665163332548
16,0.0030947148515917348,0.11542723349491878,0.9988814317673378,0.9832214765100671,0.9018588992974239
17,0.003682284024792114,0.10415534428651492,0.9987882177479492,0.9846196868008948,0.9128867620920111
18,0.0021650789968004703,0.11229330772882154,0.9993475018642803,0.9835011185682326,0.9070852638824481
19,0.0016680924159172285,0.11960425182976613,0.9992542878448919,0.9832214765100671,0.9024399116066313
20,0.0012539835638996184,0.11874012770804906,0.9997203579418344,0.9829418344519015,0.9005194844284645
21,0.0010039574442368164,0.12005239357747703,0.999813571961223,0.9832214765100671,0.9030137342966869
22,0.0011871126139583663,0.11868405041350018,0.9995339299030574,0.9829418344519015,0.9016862908586946
23,0.0007966920886945315,0.12038740700381823,0.9997203579418344,0.982662192393736,0.8997808587732431
24,0.0010849853790619232,0.11941423229278111,0.999813571961223,0.9837807606263982,0.9073356589368942
25,0.000963885480576296,0.12210934208253223,0.9994407158836689,0.9837807606263982,0.9062466098201306
26,0.0009702047594043419,0.1199798162977491,0.9997203579418344,0.9843400447427293,0.9100084663655205
27,0.0005545957095984292,0.12083825711618244,0.999813571961223,0.9840604026845637,0.9086682125214235
